dataset,probe_id,condition,severity_ms,split_seed,estimand,accuracy_pct
stemnist,stemnist_paper_scnn_clean,pbj_identity_loss,pooled,202,participant_macro,86.7703081232493
stemnist,stemnist_tcn_large_clean,clean,pooled,42,sample_micro,92.03896103896105
stemnist,stemnist_tcn_large_clean,clean,pooled,42,participant_macro,91.6470588235294
stemnist,stemnist_tcn_large_clean,clean,pooled,123,sample_micro,92.14285714285714
stemnist,stemnist_tcn_large_clean,clean,pooled,123,participant_macro,91.63865546218489
stemnist,stemnist_tcn_large_clean,clean,pooled,202,sample_micro,92.4025974025974
stemnist,stemnist_tcn_large_clean,clean,pooled,202,participant_macro,91.9327731092437
stemnist,stemnist_tcn_large_clean,pbj,pooled,42,sample_micro,86.26118326118326
stemnist,stemnist_tcn_large_clean,pbj,pooled,42,participant_macro,85.85247432306255
stemnist,stemnist_tcn_large_clean,pbj,pooled,123,sample_micro,86.14574314574314
stemnist,stemnist_tcn_large_clean,pbj,pooled,123,participant_macro,85.72268907563026
stemnist,stemnist_tcn_large_clean,pbj,pooled,202,sample_micro,87.06782106782107
stemnist,stemnist_tcn_large_clean,pbj,pooled,202,participant_macro,86.54154995331467
stemnist,stemnist_tcn_large_clean,cf_matched,pooled,42,sample_micro,88.5930735930736
stemnist,stemnist_tcn_large_clean,cf_matched,pooled,42,participant_macro,88.14098972922501
stemnist,stemnist_tcn_large_clean,cf_matched,pooled,123,sample_micro,88.37950937950939
stemnist,stemnist_tcn_large_clean,cf_matched,pooled,123,participant_macro,87.96265172735761
stemnist,stemnist_tcn_large_clean,cf_matched,pooled,202,sample_micro,89.06926406926408
stemnist,stemnist_tcn_large_clean,cf_matched,pooled,202,participant_macro,88.53408029878618
stemnist,stemnist_tcn_large_clean,pbj_identity_loss,pooled,42,sample_micro,92.02308802308802
stemnist,stemnist_tcn_large_clean,pbj_identity_loss,pooled,42,participant_macro,91.60504201680672
stemnist,stemnist_tcn_large_clean,pbj_identity_loss,pooled,123,sample_micro,92.06204906204906
stemnist,stemnist_tcn_large_clean,pbj_identity_loss,pooled,123,participant_macro,91.59290382819796
stemnist,stemnist_tcn_large_clean,pbj_identity_loss,pooled,202,sample_micro,92.45598845598846
stemnist,stemnist_tcn_large_clean,pbj_identity_loss,pooled,202,participant_macro,92.00746965452848

