dataset,probe_id,loss_accuracy_min,loss_accuracy_max,loss_accuracy_range_pp,loss_accuracy_min_rule,loss_accuracy_max_rule,combined_accuracy_min,combined_accuracy_max,combined_accuracy_range_pp,combined_accuracy_min_rule,combined_accuracy_max_rule,loss_drop_min,loss_drop_max,loss_drop_range_pp,loss_drop_min_rule,loss_drop_max_rule,combined_drop_min,combined_drop_max,combined_drop_range_pp,combined_drop_min_rule,combined_drop_max_rule,interaction_min,interaction_max,interaction_range_pp,interaction_min_rule,interaction_max_rule,pbj_residual_min,pbj_residual_max,pbj_residual_range_pp,pbj_residual_min_rule,pbj_residual_max_rule
braille,braille_conv1d_h83_l2_k5,0.542235939643347,0.5455761316872428,0.33401920438957955,fixed_index,assignment_preserving,0.3840123456790123,0.40098765432098765,1.6975308641975329,fixed_random_priority,assignment_preserving,20.77572016460905,21.109739368998632,0.33401920438958044,assignment_preserving,fixed_index,35.23456790123456,36.9320987654321,1.6975308641975388,assignment_preserving,fixed_random_priority,0.05281207133058056,1.5178326474622843,1.4650205761317037,fixed_random_priority,assignment_preserving,0.0720164609053479,1.7695473251028826,1.6975308641975346,assignment_preserving,fixed_random_priority
braille,braille_ratesnn_h192_l3,0.5872085048010974,0.5896776406035666,0.24691358024692134,fixed_random_priority,assignment_preserving,0.5040466392318244,0.516687242798354,1.264060356652963,fixed_random_priority,assignment_preserving,11.779149519890256,12.026063100137174,0.24691358024691823,assignment_preserving,fixed_random_priority,19.07818930041152,20.34224965706448,1.264060356652962,assignment_preserving,fixed_random_priority,-2.270233196159118,-1.2496570644718763,1.0205761316872417,fixed_index,assignment_preserving,0.04526748971193095,1.30932784636489,1.2640603566529591,assignment_preserving,fixed_random_priority
braille,braille_tcn_small_h64_b2_k3,0.6089849108367628,0.6117969821673525,0.2812071330589694,minimum_proposed_displacement,assignment_preserving,0.42733196159122083,0.4477160493827161,2.0384087791495253,fixed_random_priority,assignment_preserving,18.8079561042524,19.089163237311382,0.28120713305898093,assignment_preserving,minimum_proposed_displacement,35.21604938271605,37.254458161865564,2.0384087791495134,assignment_preserving,fixed_random_priority,-4.445816186556928,-2.572016460905343,1.873799725651585,fixed_random_priority,assignment_preserving,0.09602194787380151,2.1344307270233194,2.038408779149518,assignment_preserving,fixed_random_priority
stemnist,stemnist_paper_scnn_clean,0.8681337181337181,0.8684175084175084,0.028379028379033056,fixed_random_priority,fixed_index,0.859090909090909,0.8591871091871092,0.009620009620014969,minimum_proposed_displacement,fixed_random_priority,0.09764309764310382,0.12602212602212948,0.02837902837902566,fixed_index,fixed_random_priority,1.020683020683022,1.0303030303030296,0.009620009620007641,fixed_random_priority,minimum_proposed_displacement,-0.06397306397305884,-0.028860028860022702,0.03511303511303614,fixed_index,fixed_random_priority,-0.004810004810007484,0.004810004810000083,0.009620009620007568,fixed_random_priority,minimum_proposed_displacement
stemnist,stemnist_tcn_large_clean,0.9215392015392015,0.9218951418951419,0.03559403559403318,fixed_index,fixed_random_priority,0.864054834054834,0.8651755651755652,0.11207311207311887,fixed_index,minimum_proposed_displacement,0.005291005291008233,0.040885040885037714,0.03559403559402948,fixed_random_priority,fixed_index,5.677248677248677,5.789321789321792,0.11207311207311488,minimum_proposed_displacement,fixed_index,-0.24001924001924024,-0.137085137085143,0.10293410293409724,fixed_random_priority,minimum_proposed_displacement,-0.025974025974033015,0.08609908609908216,0.11207311207311518,minimum_proposed_displacement,fixed_index

