dataset,probe_id,survivor_rule,split_seeds,clean_mean,clean_sample_sd,movement_only_mean,movement_only_sample_sd,loss_only_mean,loss_only_sample_sd,movement_plus_loss_mean,movement_plus_loss_sample_sd,pbj_mean,pbj_sample_sd,movement_drop_pp_mean,movement_drop_pp_sample_sd,loss_drop_pp_mean,loss_drop_pp_sample_sd,combined_drop_pp_mean,combined_drop_pp_sample_sd,pbj_drop_pp_mean,pbj_drop_pp_sample_sd,factorial_interaction_pp_mean,factorial_interaction_pp_sample_sd,pbj_minus_bounded_combined_pp_mean,pbj_minus_bounded_combined_pp_sample_sd
braille,braille_conv1d_h83_l2_k5,assignment_preserving,3,0.7533333333333333,0.004724944748953006,0.5935665294924554,0.005850620820163164,0.5455761316872428,0.012456498505887589,0.40098765432098765,0.012803844111075739,0.40170781893004115,0.0129064513838656,15.976680384087791,0.43360668365064386,20.77572016460905,1.032440085724187,35.23456790123456,1.0520481761952811,35.16255144032922,1.05896736411968,1.5178326474622843,0.4394164481504216,0.0720164609053479,0.012849790120158383
braille,braille_conv1d_h83_l2_k5,fixed_index,3,0.7533333333333333,0.004724944748953006,0.5935665294924554,0.005850620820163164,0.542235939643347,0.012677741606248696,0.38412894375857337,0.011938241342405858,0.40170781893004115,0.0129064513838656,15.976680384087791,0.43360668365064386,21.109739368998632,0.9836861585157112,36.920438957475994,0.9610294447881474,35.16255144032922,1.05896736411968,0.1659807956104246,0.3988922520699331,1.7578875171467796,0.0991148938666991
braille,braille_conv1d_h83_l2_k5,fixed_random_priority,3,0.7533333333333333,0.004724944748953006,0.5935665294924554,0.005850620820163164,0.5432510288065844,0.011087996075164488,0.3840123456790123,0.010819113182044721,0.40170781893004115,0.0129064513838656,15.976680384087791,0.43360668365064386,21.00823045267489,0.8688659911357258,36.9320987654321,0.8545190941997367,35.16255144032922,1.05896736411968,0.05281207133058056,0.4331084291114675,1.7695473251028826,0.21091287751295326
braille,braille_conv1d_h83_l2_k5,minimum_proposed_displacement,3,0.7533333333333333,0.004724944748953006,0.5935665294924554,0.005850620820163164,0.5428600823045268,0.011692838311590337,0.39246913580246917,0.012483998801803115,0.40170781893004115,0.0129064513838656,15.976680384087791,0.43360668365064386,21.04732510288066,0.931923874616229,36.08641975308641,1.0079007607421202,35.16255144032922,1.05896736411968,0.9375857338820367,0.382169912851824,0.9238683127571997,0.05345835825829956
braille,braille_ratesnn_h192_l3,assignment_preserving,3,0.7074691358024691,0.0056362453005745616,0.6469753086419753,0.0049997459672295845,0.5896776406035666,0.007397579595374015,0.516687242798354,0.006378899501835014,0.5171399176954732,0.006821010930448324,6.0493827160493865,0.773462783945448,11.779149519890256,0.6347272506171249,19.07818930041152,0.7665458289738133,19.032921810699587,0.785342725609124,-1.2496570644718763,0.5748307377232907,0.04526748971193095,0.04745910532785948
braille,braille_ratesnn_h192_l3,fixed_index,3,0.7074691358024691,0.0056362453005745616,0.6469753086419753,0.0049997459672295845,0.5889094650205761,0.008090450204479885,0.5057133058984911,0.006238143365323784,0.5171399176954732,0.006821010930448324,6.0493827160493865,0.773462783945448,11.8559670781893,0.6136346173811316,20.17558299039781,0.8445601856094576,19.032921810699587,0.785342725609124,-2.270233196159118,0.4913446402581298,1.1426611796982178,0.15885431090114596
braille,braille_ratesnn_h192_l3,fixed_random_priority,3,0.7074691358024691,0.0056362453005745616,0.6469753086419753,0.0049997459672295845,0.5872085048010974,0.005381212481343519,0.5040466392318244,0.0073918828324078725,0.5171399176954732,0.006821010930448324,6.0493827160493865,0.773462783945448,12.026063100137174,0.3652384124436063,20.34224965706448,0.9851312365401961,19.032921810699587,0.785342725609124,-2.266803840877918,0.12726189128772517,1.30932784636489,0.25096414647688164
braille,braille_ratesnn_h192_l3,minimum_proposed_displacement,3,0.7074691358024691,0.0056362453005745616,0.6469753086419753,0.0049997459672295845,0.5879903978052126,0.006734946450345903,0.5096913580246913,0.007935747454147964,0.5171399176954732,0.006821010930448324,6.0493827160493865,0.773462783945448,11.947873799725656,0.6140185694199267,19.777777777777782,0.8490839905996919,19.032921810699587,0.785342725609124,-1.780521262002736,0.5381605851538843,0.7448559670781915,0.11495043393797977
braille,braille_tcn_small_h64_b2_k3,assignment_preserving,3,0.7998765432098764,0.0025210589946496617,0.6615157750342936,0.00539555191297597,0.6117969821673525,0.007261985123805863,0.4477160493827161,0.0007077112560460705,0.44867626886145406,0.0009156571259205562,13.8360768175583,0.6748134713460843,18.8079561042524,0.4785237374332081,35.21604938271605,0.2976719892527027,35.12002743484224,0.32503993070115544,-2.572016460905343,0.543914775215204,0.09602194787380151,0.027400527236541388
braille,braille_tcn_small_h64_b2_k3,fixed_index,3,0.7998765432098764,0.0025210589946496617,0.6615157750342936,0.00539555191297597,0.6110288065843622,0.006933973205869689,0.42823731138545956,0.0018752898733668546,0.44867626886145406,0.0009156571259205562,13.8360768175583,0.6748134713460843,18.884773662551435,0.44135202927426614,37.1639231824417,0.3908074982106276,35.12002743484224,0.32503993070115544,-4.443072702331967,0.7314412059470793,2.043895747599454,0.09983842162503169
braille,braille_tcn_small_h64_b2_k3,fixed_random_priority,3,0.7998765432098764,0.0025210589946496617,0.6615157750342936,0.00539555191297597,0.6101508916323731,0.006739251172405688,0.42733196159122083,0.001728680817713107,0.44867626886145406,0.0009156571259205562,13.8360768175583,0.6748134713460843,18.97256515775034,0.42546511589275404,37.254458161865564,0.40925472469196345,35.12002743484224,0.32503993070115544,-4.445816186556928,0.6192059697807545,2.1344307270233194,0.08497053863346146
braille,braille_tcn_small_h64_b2_k3,minimum_proposed_displacement,3,0.7998765432098764,0.0025210589946496617,0.6615157750342936,0.00539555191297597,0.6089849108367628,0.007423403320200458,0.43704389574759944,0.0010620819053976964,0.44867626886145406,0.0009156571259205562,13.8360768175583,0.6748134713460843,19.089163237311382,0.49146525932668655,36.28326474622771,0.22909222679009905,35.12002743484224,0.32503993070115544,-3.3580246913580267,0.5907930208657748,1.1632373113854622,0.11625666143685855
stemnist,stemnist_paper_scnn_clean,assignment_preserving,3,0.8693939393939395,0.004148397007119525,0.8607359307359307,0.0024314895455207564,0.8683357383357383,0.0026438973659503756,0.8591390091390091,0.003001177051894478,0.8591390091390091,0.003001177051894478,0.8658008658008698,0.2777580997883764,0.10582010582010914,0.1510012126961597,1.0254930254930295,0.287205624845784,1.0254930254930295,0.287205624845784,-0.05387205387205052,0.18598678354424883,0.0,0.0
stemnist,stemnist_paper_scnn_clean,fixed_index,3,0.8693939393939395,0.004148397007119525,0.8607359307359307,0.0024314895455207564,0.8684175084175084,0.0029410455715254903,0.8591197691197691,0.0031362964980692276,0.8591390091390091,0.003001177051894478,0.8658008658008698,0.2777580997883764,0.09764309764310382,0.12081924005538994,1.0274170274170324,0.32507270855215,1.0254930254930295,0.287205624845784,-0.06397306397305884,0.15680541907361378,0.0019240019240029937,0.03928923108546028
stemnist,stemnist_paper_scnn_clean,fixed_random_priority,3,0.8693939393939395,0.004148397007119525,0.8607359307359307,0.0024314895455207564,0.8681337181337181,0.002600980913923918,0.8591871091871092,0.0034716207633596714,0.8591390091390091,0.003001177051894478,0.8658008658008698,0.2777580997883764,0.12602212602212948,0.1634503049400001,1.020683020683022,0.23487849928157836,1.0254930254930295,0.287205624845784,-0.028860028860022702,0.27099628569208994,-0.004810004810007484,0.07053507563183879
stemnist,stemnist_paper_scnn_clean,minimum_proposed_displacement,3,0.8693939393939395,0.004148397007119525,0.8607359307359307,0.0024314895455207564,0.8681962481962482,0.002610716239534936,0.859090909090909,0.0033616978745441214,0.8591390091390091,0.003001177051894478,0.8658008658008698,0.2777580997883764,0.11976911976912714,0.15445508896027635,1.0303030303030296,0.28794659011245644,1.0254930254930295,0.287205624845784,-0.0447330447330326,0.22885566160089738,0.004810004810000083,0.036084654802344504
stemnist,stemnist_tcn_large_clean,assignment_preserving,3,0.921948051948052,0.0018730136495916463,0.8666570466570467,0.004157881228069814,0.921803751803752,0.0023948172980405268,0.8649158249158249,0.0050236418823628795,0.8649158249158249,0.0050236418823628795,5.529100529100525,0.24308186302874424,0.014430014430000249,0.06711120319903752,5.70322270322271,0.3374042665618887,5.70322270322271,0.3374042665618887,-0.15969215969218556,0.03048571789801756,0.0,0.0
stemnist,stemnist_tcn_large_clean,fixed_index,3,0.921948051948052,0.0018730136495916463,0.8666570466570467,0.004157881228069814,0.9215392015392015,0.0024195280438808853,0.864054834054834,0.005136781124976461,0.8649158249158249,0.0050236418823628795,5.529100529100525,0.24308186302874424,0.040885040885037714,0.07292988870505276,5.789321789321792,0.346864051320141,5.70322270322271,0.3374042665618887,-0.21933621933623026,0.03411714406215712,0.08609908609908216,0.013714841201909871
stemnist,stemnist_tcn_large_clean,fixed_random_priority,3,0.921948051948052,0.0018730136495916463,0.8666570466570467,0.004157881228069814,0.9218951418951419,0.0022967004865155297,0.8642039442039442,0.005202522192864554,0.8649158249158249,0.0050236418823628795,5.529100529100525,0.24308186302874424,0.005291005291008233,0.044717525896586195,5.774410774410772,0.3521909039721903,5.70322270322271,0.3374042665618887,-0.24001924001924024,0.06784153283899663,0.07118807118806265,0.022370401066353122
stemnist,stemnist_tcn_large_clean,minimum_proposed_displacement,3,0.921948051948052,0.0018730136495916463,0.8666570466570467,0.004157881228069814,0.9218374218374218,0.0025094261153763018,0.8651755651755652,0.004929604950174599,0.8649158249158249,0.0050236418823628795,5.529100529100525,0.24308186302874424,0.011063011063009812,0.07400689094290262,5.677248677248677,0.3294386305088043,5.70322270322271,0.3374042665618887,-0.137085137085143,0.029818150533591947,-0.025974025974033015,0.010894421984517852

