dataset,bin_width_ms,physical_jitter_ms,radius_bins,time_bins,last_bin_width_ms,samples,raw_events,clean_active_cells,clean_occupancy_per_event_pct,retention_pct,moved_fraction_pct,mean_absolute_displacement_bins,mean_absolute_displacement_ms,boundary_clipping_fraction_pct,realization_count,retention_pct_realization_min,retention_pct_realization_max
braille,12.5,50.0,4,90,12.5,5400,4917680,2256229,45.87994745489743,85.94200027272646,86.50004055439408,1.9591321034640838,24.48915129330105,2.1850323408365613,3,85.90258347002897,85.98759257149872
braille,25.0,50.0,2,45,25.0,5400,4917680,1672689,34.01378292202828,83.86007998697507,73.29009357587294,0.9711940872850043,24.279852182125108,2.3123445741158895,3,83.83650517221074,83.87428864540868
braille,50.0,50.0,1,23,25.0,5400,4917680,1211066,24.626775227342975,83.04361612001328,48.008806566556515,0.48008806566556517,24.004403283278258,2.0094418195760317,3,83.02412915563644,83.05897449024248
stemnist,12.5,50.0,4,160,12.5,7700,1005592,856351,85.15889147885026,94.51249156790459,87.48963139335778,1.9994628370843264,24.99328546355408,0.035110213763593044,3,94.50914403089388,94.51428211095684
stemnist,25.0,50.0,2,80,25.0,7700,1005592,696280,69.24080541611309,94.4638172382758,74.94700407881886,0.9995466383255779,24.988665958139446,0.03695831179027594,3,94.4191991727466,94.52547825587408
stemnist,50.0,50.0,1,40,50.0,7700,1005592,604081,60.07217638962919,95.60003818472468,49.99285415918285,0.4999285415918285,24.996427079591424,0.03984013181455246,3,95.565991977897,95.61830284349284

