dataset,probe_id,clean_accuracy_mean,clean_accuracy_sd,accuracy_r95_mean,accuracy_r95_sd,drop_r95_pp_mean,drop_r95_pp_sd,accuracy_r90_mean,accuracy_r90_sd,drop_r90_pp_mean,drop_r90_pp_sd,accuracy_r85_mean,accuracy_r85_sd,drop_r85_pp_mean,drop_r85_pp_sd
braille,braille_ratesnn_h192_l3,0.7074691358024691,0.0056362453005745616,0.6925720164609054,0.003644764224765031,1.4897119341563754,0.3511653109990214,0.6658024691358024,0.004169751944147283,4.166666666666667,0.3426342984290795,0.6346502057613169,0.010000254023090804,7.281893004115221,0.665016628966
braille,braille_tcn_small_h64_b2_k3,0.7998765432098764,0.0025210589946496617,0.781687242798354,0.00229005967543985,1.8189300411522595,0.13612942310306322,0.7474485596707819,0.0035638905505532615,5.242798353909465,0.12366238025774964,0.7003497942386833,0.005135095115897204,9.952674897119332,0.28437524163893413
braille,braille_conv1d_h83_l2_k5,0.7533333333333333,0.004724944748953006,0.7264403292181069,0.005343102811125363,2.689300411522636,0.3716712408209151,0.6823456790123458,0.0036167782901950635,7.098765432098756,0.34765747753898063,0.6285390946502057,0.007499767138927654,12.479423868312756,0.6830500972478537
stemnist,stemnist_paper_scnn_clean,0.8693939393939395,0.004148397007119525,0.8681240981240981,0.0017755955385097809,0.12698412698413467,0.25276838429607423,0.8655411255411254,0.0035096987114647924,0.38528138528139594,0.06406341379631751,0.861919191919192,0.0028192865727956094,0.7474747474747486,0.16531658351212622
stemnist,stemnist_tcn_large_clean,0.921948051948052,0.0018730136495916463,0.9214862914862915,0.002707733668132134,0.04617604617604224,0.08353221147710353,0.919076479076479,0.003476795118481457,0.28715728715728767,0.167344622887676,0.9162914862914864,0.0029288308480504245,0.5656565656565619,0.15252190778324268

